id,Name,Brand,Category,SubCategory,Price,Size,Quantity
1155,Blue Bird Cocoa Powder,Blue Bird,Dairy & Beverages,Beverages,70.0,50 gm,73
1156,Mirinda Orange,Mirinda,Dairy & Beverages,Beverages,99.0,2.25 L,81
1157,Thums Up,Thums up,Dairy & Beverages,Beverages,38.0,600 ml,78
1158,Thums Up,Thums up,Dairy & Beverages,Beverages,90.0,1.75 L,41
1159,Sprite,Sprite,Dairy & Beverages,Beverages,90.0,1.75 L,131
1160,Sprite,Sprite,Dairy & Beverages,Beverages,38.0,600 ml,63
1161,Thums Up Bottle,Thums Up,Dairy & Beverages,Beverages,160.0,8x250 ml,66
1162,Sprite,Sprite,Dairy & Beverages,Beverages,160.0,8x250 ml,122
1163,Coca-Cola Bottle,Coca-Cola,Dairy & Beverages,Beverages,160.0,8x250 ml,124
1164,Pepsi,Pepsi,Dairy & Beverages,Beverages,99.0,2.25 L,26
1165,Fanta Orange Flavour,Fanta,Dairy & Beverages,Beverages,99.0,2.25 L,77
1166,Bisleri Club Soda,Bisleri,Dairy & Beverages,Beverages,20.0,750 ml,70
1167,7 Up,7 Up,Dairy & Beverages,Beverages,99.0,2.25 L,106
1168,Coca-Cola,Coca-Cola,Dairy & Beverages,Beverages,90.0,1.75 L,107
1169,Limca,Limca,Dairy & Beverages,Beverages,99.0,2.25 L,84
1170,Fanta Orange Flavour,Fanta,Dairy & Beverages,Beverages,160.0,8x250 ml,136
1171,Xotik Jeeru Jeera Masala Drink,Xotik Beverages,Dairy & Beverages,Beverages,60.0,1 L,94
1172,Xotik Jeeru Jeera Masala Drink,Xotik Beverages,Dairy & Beverages,Beverages,100.0,2 L,130
1173,Diet Coke Tin,Coca-Cola,Dairy & Beverages,Beverages,40.0,300 ml,148
1174,Duke's Club Soda,Duke's,Dairy & Beverages,Beverages,20.0,750 ml,78
1175,Coolberg Assorted Non-Alcoholic Beer,Coolberg,Dairy & Beverages,Beverages,474.0,6x330 ml,56
1176,Budweiser Green Apple Non-Alcoholic Beer Can,Budweiser,Dairy & Beverages,Beverages,90.0,330 ml,137
1177,Pepsi,Pepsi,Dairy & Beverages,Beverages,40.0,750  ml,84
1178,Cravova Classic Mojito,Cravova,Dairy & Beverages,Beverages,50.0,300 ml,108
1179,Coolberg Cranberry Non-Alcoholic Beer,Coolberg,Dairy & Beverages,Beverages,474.0,6x330 ml,27
1180,Epigamia Low Fat Greek Yogurt Blueberry,Epigamia,Dairy & Beverages,Dairy,55.0,90 gm,76
1181,Coolberg Cranberry Non-Alcoholic Beer,Coolberg,Dairy & Beverages,Beverages,79.0,330 ml,81
1182,Cravova Peach Mojito,Cravova,Dairy & Beverages,Beverages,50.0,300 ml,130
1183,Epigamia Low Fat Greek Yogurt Strawberry,Epigamia,Dairy & Beverages,Dairy,55.0,90 gm,102
1184,Cravova Green Apple Mojito,Cravova,Dairy & Beverages,Beverages,50.0,300 ml,73
1185,Epigamia Greek Yogurt Natural,Epigamia,Dairy & Beverages,Dairy,55.0,90 gm,110
1186,Bisleri Limonata - With Lime Juice,Bisleri,Dairy & Beverages,Beverages,40.0,600 ml,127
1187,Coke Zero Sugar,Coca-Cola,Dairy & Beverages,Beverages,40.0,300 ml,92
1188,Cravova Watermelon Mojito,Cravova,Dairy & Beverages,Beverages,50.0,300 ml,36
1189,Coolberg Peach Non-Alcoholic Beer,Coolberg,Dairy & Beverages,Beverages,79.0,330 ml,68
1190,Epigamia Low Fat Greek Yogurt Alphonso Mango,Epigamia,Dairy & Beverages,Dairy,55.0,90 gm,45
1191,Cravova Fresh Lemonade,Cravova,Dairy & Beverages,Beverages,50.0,300 ml,86
1192,Epigamia Low Fat Greek Yogurt Wild Raspberry,Epigamia,Dairy & Beverages,Dairy,55.0,90 gm,103
1193,Coca-Cola Tin,,Dairy & Beverages,Beverages,40.0,300 ml,58
1194,Coolberg Ginger Non-Alcoholic Beer,Coolberg,Dairy & Beverages,Beverages,79.0,330 ml,36
1195,Epigamia Greek Yogurt Zero Added Sugar Strawberry,Epigamia,Dairy & Beverages,Dairy,75.0,120 gm,65
1196,Bisleri Spyci - Masala Maar Ke,Bisleri,Dairy & Beverages,Beverages,40.0,600 ml,70
1197,Epigamia Greek Yogurt Smoothie - Blueberry,Epigamia,Dairy & Beverages,Dairy,70.0,200 ml,81
1198,Coolberg Malt Non-Alcoholic Beer,Coolberg,Dairy & Beverages,Beverages,79.0,330 ml,142
1199,Epigamia Greek Yogurt Smoothie - Strawberry,Epigamia,Dairy & Beverages,Dairy,70.0,200 ml,126
1200,Epigamia Greek Yogurt Zero Sugar Mixed Berry,Epigamia,Dairy & Beverages,Dairy,75.0,120 gm,113
1201,Epigamia Alphonso Mango Yogurt Smoothie,Epigamia,Dairy & Beverages,Dairy,70.0,200 ml,123
1202,Schweppes Indian Tonic Water Tin,Schweppes,Dairy & Beverages,Beverages,50.0,300 ml,60
1203,Schweppes Original Ginger Ale,Schweppes,Dairy & Beverages,Beverages,50.0,300 ml,67
1204,Xotik Jeeru Jeera Masala Drink,Xotik Jeeru,Dairy & Beverages,Beverages,20.0,300 ml,67
1205,O'cean Fruit Drink - Peach & Passion Fruit Flavour,O'cean,Dairy & Beverages,Beverages,50.0,500 ml,63
1206,Maaza Mango Drink,Maaza,Dairy & Beverages,Beverages,70.0,1.2 L,62
1207,Slice Mango Drink,Slice,Dairy & Beverages,Beverages,95.0,1.75 L,94
1208,Real Mixed Fruit,Real,Dairy & Beverages,Beverages,118.0,1 L,127
1209,Minute Maid Pulpy Orange Juice,Minute Maid,Dairy & Beverages,Beverages,80.0,1 L,37
1210,Frooti Mango Drink,Frooti,Dairy & Beverages,Beverages,100.0,2 L,61
1211,Mango Merry Mango Drink,Mango Merry,Dairy & Beverages,Beverages,65.0,1.2 L,117
1212,Mango Merry Mango Drink,Mango Merry,Dairy & Beverages,Beverages,95.0,2 L,84
1213,Real Fruit Power Orange,Real,Dairy & Beverages,Beverages,118.0,1 L,110
1214,B Natural Mixed Fruit Beverage,B Natural,Dairy & Beverages,Beverages,130.0,1 L,147
1215,Real Fruit Power Litchi,Real,Dairy & Beverages,Beverages,115.0,1 L,103
1216,B Natural Guava Fruit Beverage,B Natural,Dairy & Beverages,Beverages,130.0,1 L,59
1217,Real Fruit Power Guava,Real,Dairy & Beverages,Beverages,110.0,1 L,109
1218,Tropicana Mixed Fruit Delight,Tropicana,Dairy & Beverages,Beverages,115.0,1 L,68
1219,B Natural Litchi Fruit Beverage,B Natural,Dairy & Beverages,Beverages,130.0,1 L,52
1220,Raw Pressery Coconut Water,Raw Pressery,Dairy & Beverages,Beverages,60.0,200 ml,141
1221,Chitale Full Cream Shrikhand Amba,Chitale,Dairy & Beverages,Dairy,78.0,250 gm,135
1222,Chitale Full Cream Shrikhand Amba,Chitale,Dairy & Beverages,Dairy,145.0,500 gm,64
1223,Paper Boat Aamras,Paper Boat,Dairy & Beverages,Beverages,130.0,1 L,147
1224,Real Fruit Power Apple,Real,Dairy & Beverages,Beverages,110.0,1 L,54
1225,Paper Boat Aamras,Paper Boat,Dairy & Beverages,Beverages,35.0,200 ml,66
1226,Real Fruit Power Masala Guava,Real,Dairy & Beverages,Beverages,125.0,1 L,93
1227,Real Fruit Power Masala Mixed Fruit,Real,Dairy & Beverages,Beverages,130.0,1 L,75
1228,Amul Amrakhand,Amul,Dairy & Beverages,Dairy,47.0,200 gm,99
1229,Amul Amrakhand,Amul,Dairy & Beverages,Dairy,105.0,500 gm,132
1230,Amul Shrikhand Badam Pista,Amul,Dairy & Beverages,Dairy,52.0,200 gm,35
1231,Amul Shrikhand Badam Pista,Amul,Dairy & Beverages,Dairy,120.0,500 gm,37
1232,Tropicana Apple Delight,Tropicana,Dairy & Beverages,Beverages,105.0,1 L,32
1233,Paper Boat Chilli Guava,Paper Boat,Dairy & Beverages,Beverages,35.0,200 ml,82
1234,Tropicana Orange Delight,Tropicana,Dairy & Beverages,Beverages,115.0,1 L,73
1235,Tropicana Litchi Delight,Tropicana,Dairy & Beverages,Beverages,110.0,1 L,145
1236,Paper Boat Alphonso Aam,Paper Boat,Dairy & Beverages,Beverages,20.0,150 ml,105
1237,Amul Shrikhand Mango,Amul,Dairy & Beverages,Dairy,105.0,500 gm,106
1238,Amul Shrikhand Elaichi,Amul,Dairy & Beverages,Dairy,47.0,200 gm,52
1239,Amul Shrikhand Elaichi,Amul,Dairy & Beverages,Dairy,105.0,500 gm,136
1240,Paper Boat Jaljeera,Paper Boat,Dairy & Beverages,Beverages,35.0,200 ml,32
1241,Chitale Full Cream Badam Pista Shrikhand,Chitale,Dairy & Beverages,Dairy,145.0,500 gm,98
1242,Chitale Full Cream Badam Pista Shrikhand,Chitale,Dairy & Beverages,Dairy,78.0,250 gm,130
1243,Raw Pressery Orange Juice,Raw Pressery,Dairy & Beverages,Beverages,330.0,1 L,76
1244,Amul Shrikhand Kesar,Amul,Dairy & Beverages,Dairy,120.0,500 gm,80
1245,Paper Boat Anar - 1 L,Paper Boat,Dairy & Beverages,Beverages,150.0,1 L,74
1246,Chitale Full Cream Keshar Shrikhand,Chitale,Dairy & Beverages,Dairy,78.0,250 gm,94
1247,Chitale Full Cream Keshar Shrikhand,Chitale,Dairy & Beverages,Dairy,145.0,500 gm,65
1248,Baidyanath Amla Juice,Baidyanath,Dairy & Beverages,Beverages,220.0,1 L,147
1249,Raw Pressery Pomegranate Juice,Raw Pressery,Dairy & Beverages,Beverages,425.0,1 L,105
1250,Baidyanath Aloevera Juice,Baidyanath,Dairy & Beverages,Beverages,250.0,1 L,143
1251,Raw Pressery Sugarcane,Raw Pressery,Dairy & Beverages,Beverages,220.0,1 L,63
1252,Baidyanath Karela Jamun Juice,Baidyanath,Dairy & Beverages,Beverages,325.0,1 L,84
1253,Baidyanath Giloy Juice,Baidyanath,Dairy & Beverages,Beverages,250.0,1 L,116
1254,O'cean Pink Fruit Drink - Guava Flavour,OCean,Dairy & Beverages,Beverages,50.0,500 ml,128
1255,Glucon-D Orange,Glucon-D,Dairy & Beverages,Beverages,173.0,450 gm,130
1256,Glucon-D Orange,Glucon-D,Dairy & Beverages,Beverages,352.0,1 kg,130
1257,Red Bull Energy Drink,Red Bull,Dairy & Beverages,Beverages,650.0,6x250 ml,110
1258,Red Bull Energy Drink,Red Bull,Dairy & Beverages,Beverages,440.0,4x250 ml,101
1259,Glucon-D Nimbu Pani,Glucon-D,Dairy & Beverages,Beverages,173.0,450 gm,53
1260,Glucon-D Nimbu Pani,Glucon-D,Dairy & Beverages,Beverages,352.0,1 kg,98
1261,Monster Energy Drink Tin,Monster,Dairy & Beverages,Beverages,110.0,350 ml,109
1262,Red Bull Energy Drink,Red Bull,Dairy & Beverages,Beverages,145.0,350 ml,65
1263,Glucon-D Plain,Glucon-D,Dairy & Beverages,Beverages,118.0,450 gm,88
1264,Glucon-D Plain,Glucon-D,Dairy & Beverages,Beverages,198.0,1 kg,121
1265,O'cean Natural Power Energy Drink,O'cean,Dairy & Beverages,Beverages,75.0,250 ml,42
1266,Chetran's Tofu,Chetran's,Dairy & Beverages,Dairy,60.0,250 gm,95
1267,Budweiser Beats Energy Drink,Budweiser Beats,Dairy & Beverages,Beverages,90.0,250 ml,52
1268,Cipla Prolyte ORS - Orange Flavour,Cipla,Dairy & Beverages,Beverages,32.57,200 ml,99
1269,Cipla Prolyte ORS - Apple Flavour,Cipla,Dairy & Beverages,Beverages,32.57,200 ml,49
1270,Red Bull Sugarfree,Red Bull,Dairy & Beverages,Beverages,115.0,250 ml,92
1271,Rooh Afza,Hamdard,Dairy & Beverages,Beverages,160.0,750 ml,81
1272,Mapro Coolz Rose Sharbat,Mapro,Dairy & Beverages,Beverages,252.0,1 L,122
1273,Guruji Kesaria Thandai,Guruji,Dairy & Beverages,Beverages,550.0,1 L,44
1274,Kokan Gem Kokam Syrup,Kokan Gem,Dairy & Beverages,Beverages,170.0,1 L,62
1275,Mala's Rose Syrup,Mala's,Dairy & Beverages,Beverages,230.0,1 L,74
1276,Hershey's Chocolate Syrup,Hershey's,Dairy & Beverages,Beverages,220.0,623 gm,85
1277,Hershey's Chocolate Syrup,Hershey's,Dairy & Beverages,Beverages,95.0,200 gm,120
1278,Kokan Gem Kairi Panhe,Kokan Gem,Dairy & Beverages,Beverages,170.0,1 L,91
1279,Mapro Cocktail Mixology Kit,Mapro,Dairy & Beverages,Beverages,999.0,750 ml,126
1280,Home Made Lemon Pudina Fruit Squash,Home Made,Dairy & Beverages,Beverages,190.0,750 ml,117
1281,Jimmy's Cocktails - Cosmopolitan Cocktail Mixer,Jimmy's Cocktail,Dairy & Beverages,Beverages,99.0,250 ml,42
1282,Jimmy's Cocktails - Mango Chilli Mojito Cocktail Mixer,Jimmy's Cocktail,Dairy & Beverages,Beverages,99.0,250 ml,122
1283,Jimmy's Cocktails - SOTB Cocktail Mixer,Jimmy's Cocktail,Dairy & Beverages,Beverages,99.0,250 ml,92
1284,Jimmy's Cocktails - Margarita Cocktail Mixer,Jimmy's Cocktail,Dairy & Beverages,Beverages,99.0,250 ml,27
1285,Jimmy's Cocktails - Whiskey Sour Cocktail Mixer,Jimmy's Cocktail,Dairy & Beverages,Beverages,99.0,250 ml,141
1286,Home Made Real Variyali Syrup,Home Made,Dairy & Beverages,Beverages,190.0,750 ml,131
1287,Jimmy's Cocktails - BM Cocktail Mixer,Jimmy's Cocktail,Dairy & Beverages,Beverages,99.0,250 ml,27
1288,Home Made Rose Falooda Syrup,Home Made,Dairy & Beverages,Beverages,190.0,750 ml,119
1289,Home Made Masala Shikanji Syrup,Home Made,Dairy & Beverages,Beverages,160.0,750 ml,123
1290,Monin Mojito Mint Flavoured Syrup,Monin,Dairy & Beverages,Beverages,395.0,250 ml,52
1291,Home Made Anjeer Kesar Fruit Squash,Home Made,Dairy & Beverages,Beverages,240.0,750 ml,140
1292,Guruji Rose Sharbat,Guruji,Dairy & Beverages,Beverages,260.0,1 L,126
1293,Monin Blue Curacao Flavoured Syrup,Monin,Dairy & Beverages,Beverages,395.0,250 ml,116
1294,Monin Green Apple Flavoured Syrup,Monin,Dairy & Beverages,Beverages,395.0,250 ml,61
1295,Monin Vanilla Flavoured Syrup,Monin,Dairy & Beverages,Beverages,395.0,250 ml,69
1296,Hershey's Strawberry Syrup,Hershey's,Dairy & Beverages,Beverages,230.0,623 gm,115
1297,Britannia Good Day Cashew Cookies,Britannia,Packaged Food,Biscuits & Cookies,50.0,200 gm,45
1298,Britannia Good Day Cashew Cookies,Britannia,Packaged Food,Biscuits & Cookies,130.0,600 gm,65
1299,Parle Hide & Seek Chocolate Chip Cookies,Parle,Packaged Food,Biscuits & Cookies,140.0,350 gm,41
1300,Parle Hide & Seek Chocolate Chip Cookies,Parle,Packaged Food,Biscuits & Cookies,30.0,100 gm,88
1301,Karachi's Fruit Biscuits,Karachi's,Packaged Food,Biscuits & Cookies,170.0,400 gm,57
1302,Parle Nutricrunch Digestive Cookies,Parle,Packaged Food,Biscuits & Cookies,250.0,1 kg,37
1303,Sunfeast Dark Fantasy Yumfills Cake,Sunfeast,Packaged Food,Biscuits & Cookies,150.0,253 gm,69
1304,Britannia Good Day Chocochip Cookies,Britannia,Packaged Food,Biscuits & Cookies,140.0,400 gm,30
1305,Unibic Choco Chip Cookies,Unibic,Packaged Food,Biscuits & Cookies,40.0,100 gm,130
1306,Unibic Choco Chip Cookies,Unibic,Packaged Food,Biscuits & Cookies,190.0,500 gm,75
1307,Britannia Nice Time Coconut Biscuits,Britannia,Packaged Food,Biscuits & Cookies,25.0,143 gm,73
1308,Sunfeast Mom's Magic Cashew & Almond Cookies,Sunfeast Mom's Magic,Packaged Food,Biscuits & Cookies,120.0,584 gm,128
1309,Parle 20-20 Gold Cashew Almond Cookies,Parle,Packaged Food,Biscuits & Cookies,140.0,600 gm,118
1310,Unibic Fruit & Nut Cookies,Unibic,Packaged Food,Biscuits & Cookies,55.0,150 gm,122
1311,Unibic Fruit & Nut Cookies,Unibic,Packaged Food,Biscuits & Cookies,190.0,500 gm,134
1312,Unibic Cashew Badam Cookies,Unibic,Packaged Food,Biscuits & Cookies,150.0,500 gm,75
1313,Britannia Little Hearts Classic Biscuits,Britannia,Packaged Food,Biscuits & Cookies,30.0,75 gm,143
1314,Britannia Tiger Krunch Chocochips Biscuits,Britannia,Packaged Food,Biscuits & Cookies,140.0,4X100 gm,121
1315,Patanjali Doodh Biscuits,Patanjali,Packaged Food,Biscuits & Cookies,40.0,300 gm,29
1316,Unibic Choco Nut Cookies,Unibic,Packaged Food,Biscuits & Cookies,190.0,500 gm,104
1317,Unibic Choco Kiss Cookies,Unibic,Packaged Food,Biscuits & Cookies,50.0,75 gm,112
1318,Unibic Choco Kiss Cookies,Unibic,Packaged Food,Biscuits & Cookies,160.0,250 gm,144
1319,Malkist Chocolate Flavoured Crunchy Layered Crackers,Malkist,Packaged Food,Biscuits & Cookies,50.0,138 gm,58
1320,Malkist Cheese Flavoured Crunchy Layered Crackers,Malkist,Packaged Food,Biscuits & Cookies,50.0,138 gm,53
1321,Sunfeast Nice Sugar Sprinkled Biscuits,Sunfeast Nice,Packaged Food,Biscuits & Cookies,25.0,150 gm,107
1322,Munchy's Cream Crackers,Munchy's,Packaged Food,Biscuits & Cookies,199.0,300 gm,41
1323,Munchy's Vege Crackers,Munchy's,Packaged Food,Biscuits & Cookies,199.0,300 gm,54
1324,Cookie Man Almond Fingers,Cookie Man,Packaged Food,Biscuits & Cookies,350.0,250 gm,60
1325,Cookie Man Assorted Cookies Tin,Cookie Man,Packaged Food,Biscuits & Cookies,370.0,300 gm,148
1326,Cookie Man Hand Pound Chocolate Cookies,Cookie Man,Packaged Food,Biscuits & Cookies,49.0,100 gm,139
1327,Sunfeast Mom's Magic Butter Cookies,Sunfeast,Packaged Food,Biscuits & Cookies,35.0,200 gm,104
1328,Munchy's Wheat Crackers,Munchy's,Packaged Food,Biscuits & Cookies,199.0,276 gm,72
1329,Munchy's Sugar Crackers,Munchy's,Packaged Food,Biscuits & Cookies,199.0,300 gm,82
1330,Cookie Man Brownie Brittle,Cookie Man,Packaged Food,Biscuits & Cookies,250.0,200 gm,135
1331,Lotus Biscoff Biscuit,Lotus Biscoff,Packaged Food,Gourmet Food,299.0,250 gm,45
1332,Lotus Biscoff Biscuit,Lotus Biscoff,Packaged Food,Gourmet Food,189.0,124 gm,44
1333,Malkist Sugar Crackers,Malkist,Packaged Food,Biscuits & Cookies,50.0,135 gm,118
1334,Cookie Man Brandy Snap Cookies,Cookie Man,Packaged Food,Biscuits & Cookies,90.0,120 gm,108
1335,Cookie Man Nutty Magic Cookies,Cookie Man,Packaged Food,Biscuits & Cookies,49.0,100 gm,31
1336,Tosita Baked Ragi Crackers,Tosita,Packaged Food,Biscuits & Cookies,100.0,200 gm,147
1337,Tosita Cheese Straws,Tosita,Packaged Food,Biscuits & Cookies,170.0,200 gm,126
1338,Tosita Baked Pita Chips Just Salted,Tosita,Packaged Food,Biscuits & Cookies,60.0,150 gm,29
1339,Unibic Snappers Potato Crackers - Indi Spice,Unibic,Packaged Food,Biscuits & Cookies,150.0,300 gm,35
1340,Unibic Snappers Potato Crackers - Cream N' Onion,Unibic,Packaged Food,Biscuits & Cookies,150.0,300 gm,106
1341,Unibic Sugarfree Butter Cookies,Unibic,Packaged Food,Biscuits & Cookies,50.0,75 gm,141
1342,Unibic Sugarfree Oatmeal Cookies,Unibic,Packaged Food,Biscuits & Cookies,50.0,75 gm,86
1343,Orion O'Rice Cracker,Orion,Packaged Food,Biscuits & Cookies,140.0,14x10.8 gm,57
1344,Britannia Good Day Harmony,Good Day Harmony,Packaged Food,Biscuits & Cookies,30.0,120 gm,114
1345,Parle-G Original Gluco Biscuits,Parle,Packaged Food,Biscuits & Cookies,5.0,50 gm,109
1346,Parle-G Original Gluco Biscuits,Parle,Packaged Food,Biscuits & Cookies,25.0,200 gm,122
1347,Parle-G Original Gluco Biscuits,Parle,Packaged Food,Biscuits & Cookies,85.0,800 gm,78
1348,Parle-G Gold Biscuits,Parle,Packaged Food,Biscuits & Cookies,75.0,500 gm,124
1349,Parle-G Gold Biscuits,Parle,Packaged Food,Biscuits & Cookies,140.0,1 kg,49
1350,Britannia Milk Bikis Biscuits,Britannia,Packaged Food,Biscuits & Cookies,25.0,190.5 gm,105
1351,Britannia Milk Bikis Biscuits,Britannia,Packaged Food,Biscuits & Cookies,90.0,500 gm,80
1352,Britannia Marie Gold Biscuits,Britannia,Packaged Food,Biscuits & Cookies,140.0,1 kg,94
1353,Britannia Marie Gold Biscuits,Britannia,Packaged Food,Biscuits & Cookies,40.0,250 gm,97
1354,Britannia Vita Marie Gold Biscuits,Britannia,Packaged Food,Biscuits & Cookies,126.0,900 gm,51
1355,Britannia Vita Marie Gold Biscuits,Britannia,Packaged Food,Biscuits & Cookies,45.0,248 gm,136
1356,Britannia Vita Marie Gold Biscuits,Britannia,Packaged Food,Biscuits & Cookies,30.0,150 gm,116
1357,Sunfeast Marie Light Biscuit,Sunfeast,Packaged Food,Biscuits & Cookies,140.0,1 kg,51
1358,Parle Marie Biscuits,Parle,Packaged Food,Biscuits & Cookies,120.0,800 gm,104
1359,McVitie's Wholewheat Marie Biscuits,McVitie's,Packaged Food,Biscuits & Cookies,40.0,200 gm,48
1360,Parle Monaco Classic Regular Biscuit,Parle,Packaged Food,Biscuits & Cookies,120.0,700 gm,139
1361,Parle Monaco Classic Regular Biscuit,Parle,Packaged Food,Biscuits & Cookies,70.0,400 gm,146
1362,Parle Monaco Classic Regular Biscuit,Parle,Packaged Food,Biscuits & Cookies,35.0,200 gm,73
1363,Parle Krackjack Biscuits,Parle,Packaged Food,Biscuits & Cookies,120.0,700 gm,87
1364,Parle Krackjack Biscuits,Parle,Packaged Food,Biscuits & Cookies,70.0,400 gm,130
1365,Parle Krackjack Biscuits,Parle,Packaged Food,Biscuits & Cookies,35.0,200 gm,102
1366,Britannia 50-50 Maska Chaska Biscuits,Britannia,Packaged Food,Biscuits & Cookies,90.0,300 gm,126
1367,Britannia 50-50 Maska Chaska Biscuits,Britannia,Packaged Food,Biscuits & Cookies,30.0,105 gm,71
1368,Parle Monaco Cheeslings Classic,Parle,Packaged Food,Biscuits & Cookies,140.0,300 gm,135
1369,Bellie Cream Crackers Biscuit,Bellie,Packaged Food,Biscuits & Cookies,210.0,300 gm,30
1370,Sunfeast Dark Fantasy Choco Fills Cookies,Sunfeast Dark Fantasy,Packaged Food,Biscuits & Cookies,40.0,75 gm,127
1371,Sunfeast Dark Fantasy Choco Fills Cookies,Sunfeast Dark Fantasy,Packaged Food,Biscuits & Cookies,170.0,300 gm,82
1372,Lotte Choco Pie,Lotte Choco Pie,Packaged Food,Biscuits & Cookies,210.0,504 gm,88
1373,Lotte Choco Pie,Lotte Choco Pie,Packaged Food,Biscuits & Cookies,150.0,300 gm,52
1374,Lotte Choco Pie,Lotte Choco Pie,Packaged Food,Biscuits & Cookies,80.0,168 gm,71
1375,Cadbury Oreo Original Biscuits - Value Pack,Cadbury,Packaged Food,Biscuits & Cookies,85.0,300 gm,87
1376,Cadbury Oreo Original Biscuits - Value Pack,Cadbury,Packaged Food,Biscuits & Cookies,145.0,500 gm,80
1377,Cadbury Oreo Original Biscuits - Value Pack,Cadbury,Packaged Food,Biscuits & Cookies,30.0,120 gm,128
1378,Bisky Bites Vanilla Magic Sandwich Biscuits,Bisky Bites,Packaged Food,Biscuits & Cookies,76.0,300 gm,141
1379,Britannia Jim Jam Cream Biscuits,Britannia,Packaged Food,Biscuits & Cookies,35.0,150 gm,148
1380,Britannia Bourbon Sandwich Flavoured Biscuits,Britannia,Packaged Food,Biscuits & Cookies,40.0,150 gm,137
1381,Britannia Bourbon Sandwich Flavoured Biscuits,Britannia,Packaged Food,Biscuits & Cookies,10.0,50 gm,109
1382,Cadbury Oreo Choco Crème Biscuits,Cadbury Oreo,Packaged Food,Biscuits & Cookies,85.0,300 gm,53
1383,Cadbury Oreo Choco Crème Biscuits,Cadbury Oreo,Packaged Food,Biscuits & Cookies,30.0,120 gm,57
1384,Bisky Bites Chocolate Blast Sandwich Biscuits,Bisky Bites,Packaged Food,Biscuits & Cookies,76.0,300 gm,105
1385,Bisky Bites Bourbon Sandwich Biscuits,Bisky Bites,Packaged Food,Biscuits & Cookies,34.0,150 gm,59
1386,Sunfeast Dark Fantasy Choco Créme Biscuits,Sunfeast Dark Fantasy,Packaged Food,Biscuits & Cookies,30.0,100 gm,137
1387,Sunfeast Dark Fantasy Vanilla Créme Biscuits,Sunfeast Dark Fantasy,Packaged Food,Biscuits & Cookies,30.0,100 gm,85
1388,Dukes Bourbon Biscuits,,Packaged Food,Biscuits & Cookies,36.0,135 gm,107
1389,Cadbury Oreo Cadbury Dipped,Cadbury,Packaged Food,Biscuits & Cookies,70.0,150 gm,31
1390,Parle Hide & Seek Caffé Mocha Biscuits,Parle,Packaged Food,Biscuits & Cookies,30.0,100 gm,65
1391,Cadbury Bournvita Chocolate Cookies,Cadbury Bournvita Biscuits,Packaged Food,Biscuits & Cookies,99.0,400 gm,122
1392,Cadbury Bournvita Chocolate Cookies,Cadbury Bournvita Biscuits,Packaged Food,Biscuits & Cookies,30.0,120 gm,112
1393,Bellie Cheese Cream Sandwich Biscuit,Bellie,Packaged Food,Biscuits & Cookies,210.0,190 gm,69
1394,Sunfeast Dark Fantasy Bourbon Biscuits,Sunfeast Bourbon,Packaged Food,Biscuits & Cookies,30.0,120 gm,50
1395,Cadbury Oreo Choco Cream Sandwich Biscuits Jumbo Pack,Cadbury Oreo,Packaged Food,Biscuits & Cookies,145.0,500 gm,116
1396,Bellie Chocolate Cream Sandwich Biscuits,Bellie,Packaged Food,Biscuits & Cookies,210.0,190 gm,98
1397,Cadbury Oreo Red Velvet Biscuits,Cadbury,Packaged Food,Biscuits & Cookies,40.0,120 gm,26
1398,Britannia NutriChoice Digestive Hi-Fibre Biscuits,Britannia,Packaged Food,Biscuits & Cookies,199.0,1 kg,36
1399,Britannia NutriChoice Digestive Hi-Fibre Biscuits,Britannia,Packaged Food,Biscuits & Cookies,50.0,150 gm,44
1400,Britannia NutriChoice Digestive Hi-Fibre Biscuits,Britannia,Packaged Food,Biscuits & Cookies,20.0,100 gm,83
1401,Sunfeast Farmlite 5 Grain Digestive Biscuit,Sunfeast,Packaged Food,Biscuits & Cookies,200.0,800 gm,99
1402,Mcvitie's Digestive Biscuits,Mcvitie's,Packaged Food,Biscuits & Cookies,199.0,1 kg,99
1403,Mcvitie's Digestive Biscuits,Mcvitie's,Packaged Food,Biscuits & Cookies,50.0,200 gm,91
1404,Britannia Toastea Premium Bake Rusk,Britannia,Packaged Food,Bakery,110.0,654 gm,132
1405,Britannia Toastea Premium Bake Rusk,Britannia,Packaged Food,Bakery,70.0,400 gm,80
1406,Britannia Toastea Premium Bake Rusk,Britannia,Packaged Food,Bakery,50.0,273 gm,143
1407,Parle Real Elaichi Premium Rusk,Parle,Packaged Food,Bakery,55.0,273 gm,135
1408,Parle Real Elaichi Premium Rusk,Parle,Packaged Food,Bakery,70.0,400 gm,136
1409,Royal Toast,,Packaged Food,Bakery,59.0,400 gm,92
1410,Kwality Maska Khari,Kwality,Packaged Food,Bakery,50.0,180 gm,54
1411,Royal Maska Khari,Royal Khari,Packaged Food,Bakery,59.0,200 gm,76
1412,Kwality Jeera Butter,Kwality,Packaged Food,Bakery,40.0,180 gm,71
1413,Tosita Multi Grain Rusk,Tosita,Packaged Food,Bakery,90.0,200 gm,31
1414,Tosita Wheat Khari,Tosita,Packaged Food,Bakery,115.0,200 gm,92
1415,Tosita Milk Rusk,Tosita,Packaged Food,Bakery,80.0,200 gm,131
1416,Tosita Maska Khari,Tosita,Packaged Food,Bakery,90.0,150 gm,122
